#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
MBM4OOH2J           0   718.267     6.656     0.000     0.000     0.000
MBKETM4            0   674.380     6.421     0.000     0.000     0.000
MBKET4M            0   674.380     6.421     0.000     0.000     0.000
MB3DMOOH           0   631.116     6.183     0.000     0.000     0.000
MB3D2OOH           0   631.116     6.183     0.000     0.000     0.000
MP2DO3J            0   540.337     5.660     0.000     0.000     0.000
BAOJ3DO            0   540.337     5.660     0.000     0.000     0.000
MPMDO3J            0   540.337     5.660     0.000     0.000     0.000
BAOJ4DO            0   540.337     5.660     0.000     0.000     0.000
MB2OOH3J           0   635.008     7.159     0.000     0.000     0.000
MB2OOHMJ           0   635.008     7.159     0.000     0.000     0.000
MB3OOH4J           0   635.008     7.159     0.000     0.000     0.000
MB3DO              0   585.588     5.926     0.000     0.000     0.000
C2H3OOH            0   399.489     4.767     0.000     0.000     0.000
MMMOOH1J           0   508.539     5.468     0.000     0.000     0.000
MBCY4OM            0   585.588     5.926     0.000     0.000     0.000
MEMOOH2J           0   552.607     5.733     0.000     0.000     0.000
MECY2OM            0   498.811     5.409     0.000     0.000     0.000
CHOOCO             0   395.000     4.037     0.000     0.000     0.000
MBMJDO             0   582.634     5.909     0.000     0.000     0.000
MB4JDO             0   582.634     5.909     0.000     0.000     0.000
MEMDO2J            0   495.492     5.388     0.000     0.000     0.000
ME2DOMJ            0   495.492     5.388     0.000     0.000     0.000
HCOCO              0   387.695     4.686     0.000     0.000     0.000
C2H4CHO            0   387.860     4.687     0.000     0.000     0.000
